Ticker,Asset,Model,Period,N,accuracy,precision,recall,f1,roc_auc
CL=F,Crude Oil Futures,kNN,pre_war_eval,39,0.48717948717948717,0.8,0.17391304347826086,0.2857142857142857,0.42119565217391297
CL=F,Crude Oil Futures,kNN,war,26,0.3076923076923077,0.0,0.0,0.0,0.5625
CL=F,Crude Oil Futures,kNN,post_ceasefire,29,0.6206896551724138,0.8181818181818182,0.5,0.6206896551724138,0.7121212121212122
CL=F,Crude Oil Futures,Random Forest,pre_war_eval,39,0.4358974358974359,1.0,0.043478260869565216,0.08333333333333333,0.3532608695652174
CL=F,Crude Oil Futures,Random Forest,war,26,0.3076923076923077,0.0,0.0,0.0,0.375
CL=F,Crude Oil Futures,Random Forest,post_ceasefire,29,0.5862068965517241,0.75,0.5,0.6,0.702020202020202
CL=F,Crude Oil Futures,Momentum Baseline,pre_war_eval,39,0.46153846153846156,0.5454545454545454,0.5217391304347826,0.5333333333333333,
CL=F,Crude Oil Futures,Momentum Baseline,war,26,0.5,0.631578947368421,0.6666666666666666,0.6486486486486487,
CL=F,Crude Oil Futures,Momentum Baseline,post_ceasefire,29,0.4482758620689655,0.5555555555555556,0.5555555555555556,0.5555555555555556,
GC=F,Gold Futures,kNN,pre_war_eval,39,0.41025641025641024,0.6363636363636364,0.2692307692307692,0.3783783783783784,0.6153846153846154
GC=F,Gold Futures,kNN,war,26,0.7307692307692307,0.631578947368421,1.0,0.7741935483870968,0.7321428571428572
GC=F,Gold Futures,kNN,post_ceasefire,29,0.6206896551724138,0.5263157894736842,0.8333333333333334,0.6451612903225806,0.6225490196078431
GC=F,Gold Futures,Random Forest,pre_war_eval,39,0.4358974358974359,1.0,0.15384615384615385,0.26666666666666666,0.6153846153846154
GC=F,Gold Futures,Random Forest,war,26,0.5,0.47058823529411764,0.6666666666666666,0.5517241379310345,0.5952380952380952
GC=F,Gold Futures,Random Forest,post_ceasefire,29,0.4827586206896552,0.42857142857142855,0.75,0.5454545454545454,0.5196078431372549
GC=F,Gold Futures,Momentum Baseline,pre_war_eval,39,0.41025641025641024,0.56,0.5384615384615384,0.5490196078431373,
GC=F,Gold Futures,Momentum Baseline,war,26,0.46153846153846156,0.4166666666666667,0.4166666666666667,0.4166666666666667,
GC=F,Gold Futures,Momentum Baseline,post_ceasefire,29,0.4827586206896552,0.38461538461538464,0.4166666666666667,0.4,
^GSPC,S&P 500,kNN,pre_war_eval,39,0.4358974358974359,0.4838709677419355,0.7142857142857143,0.5769230769230769,0.4100529100529101
^GSPC,S&P 500,kNN,war,26,0.4230769230769231,0.44,0.9166666666666666,0.5945945945945946,0.25
^GSPC,S&P 500,kNN,post_ceasefire,29,0.5862068965517241,0.631578947368421,0.7058823529411765,0.6666666666666666,0.5049019607843137
^GSPC,S&P 500,Random Forest,pre_war_eval,39,0.5641025641025641,0.5625,0.8571428571428571,0.6792452830188679,0.5052910052910052
^GSPC,S&P 500,Random Forest,war,26,0.46153846153846156,0.4583333333333333,0.9166666666666666,0.6111111111111112,0.6130952380952381
^GSPC,S&P 500,Random Forest,post_ceasefire,29,0.5172413793103449,0.7142857142857143,0.29411764705882354,0.4166666666666667,0.5392156862745099
^GSPC,S&P 500,Momentum Baseline,pre_war_eval,39,0.5384615384615384,0.5714285714285714,0.5714285714285714,0.5714285714285714,
^GSPC,S&P 500,Momentum Baseline,war,26,0.5384615384615384,0.5,0.5,0.5,
^GSPC,S&P 500,Momentum Baseline,post_ceasefire,29,0.4827586206896552,0.5555555555555556,0.5882352941176471,0.5714285714285714,
^IXIC,Nasdaq Composite,kNN,pre_war_eval,39,0.5897435897435898,0.5757575757575758,0.9047619047619048,0.7037037037037037,0.5105820105820106
^IXIC,Nasdaq Composite,kNN,war,26,0.46153846153846156,0.5,0.7857142857142857,0.6111111111111112,0.5892857142857144
^IXIC,Nasdaq Composite,kNN,post_ceasefire,29,0.5862068965517241,0.7333333333333333,0.5789473684210527,0.6470588235294118,0.5842105263157895
^IXIC,Nasdaq Composite,Random Forest,pre_war_eval,39,0.5641025641025641,0.5833333333333334,0.6666666666666666,0.6222222222222222,0.5634920634920635
^IXIC,Nasdaq Composite,Random Forest,war,26,0.5,0.5238095238095238,0.7857142857142857,0.6285714285714286,0.5357142857142857
^IXIC,Nasdaq Composite,Random Forest,post_ceasefire,29,0.5172413793103449,0.7777777777777778,0.3684210526315789,0.5,0.5684210526315789
^IXIC,Nasdaq Composite,Momentum Baseline,pre_war_eval,39,0.5128205128205128,0.55,0.5238095238095238,0.5365853658536586,
^IXIC,Nasdaq Composite,Momentum Baseline,war,26,0.5384615384615384,0.5714285714285714,0.5714285714285714,0.5714285714285714,
^IXIC,Nasdaq Composite,Momentum Baseline,post_ceasefire,29,0.5517241379310345,0.65,0.6842105263157895,0.6666666666666666,
^VIX,CBOE Volatility Index,kNN,pre_war_eval,39,0.4358974358974359,0.5555555555555556,0.21739130434782608,0.3125,0.41304347826086957
^VIX,CBOE Volatility Index,kNN,war,26,0.46153846153846156,0.2,0.09090909090909091,0.125,0.5515151515151515
^VIX,CBOE Volatility Index,kNN,post_ceasefire,29,0.6206896551724138,0.46153846153846156,0.6,0.5217391304347826,0.7789473684210527
^VIX,CBOE Volatility Index,Random Forest,pre_war_eval,39,0.5128205128205128,0.625,0.43478260869565216,0.5128205128205128,0.532608695652174
^VIX,CBOE Volatility Index,Random Forest,war,26,0.5384615384615384,0.0,0.0,0.0,0.49090909090909096
^VIX,CBOE Volatility Index,Random Forest,post_ceasefire,29,0.4482758620689655,0.35,0.7,0.4666666666666667,0.5736842105263158
^VIX,CBOE Volatility Index,Momentum Baseline,pre_war_eval,39,0.41025641025641024,0.5,0.4782608695652174,0.4888888888888889,
^VIX,CBOE Volatility Index,Momentum Baseline,war,26,0.4230769230769231,0.3333333333333333,0.36363636363636365,0.34782608695652173,
^VIX,CBOE Volatility Index,Momentum Baseline,post_ceasefire,29,0.5172413793103449,0.3,0.3,0.3,
BTC-USD,Bitcoin,kNN,pre_war_eval,58,0.3620689655172414,0.3142857142857143,0.4583333333333333,0.3728813559322034,0.4227941176470588
BTC-USD,Bitcoin,kNN,war,39,0.4358974358974359,0.4,0.3157894736842105,0.35294117647058826,0.4842105263157894
BTC-USD,Bitcoin,kNN,post_ceasefire,41,0.5609756097560976,0.6,0.6521739130434783,0.625,0.6328502415458938
BTC-USD,Bitcoin,Random Forest,pre_war_eval,58,0.4482758620689655,0.3888888888888889,0.5833333333333334,0.4666666666666667,0.4754901960784314
BTC-USD,Bitcoin,Random Forest,war,39,0.5641025641025641,0.5714285714285714,0.42105263157894735,0.48484848484848486,0.5789473684210527
BTC-USD,Bitcoin,Random Forest,post_ceasefire,41,0.3902439024390244,0.375,0.13043478260869565,0.1935483870967742,0.3961352657004831
BTC-USD,Bitcoin,Momentum Baseline,pre_war_eval,58,0.6206896551724138,0.5416666666666666,0.5416666666666666,0.5416666666666666,
BTC-USD,Bitcoin,Momentum Baseline,war,39,0.5128205128205128,0.5,0.5263157894736842,0.5128205128205128,
BTC-USD,Bitcoin,Momentum Baseline,post_ceasefire,41,0.5609756097560976,0.6086956521739131,0.6086956521739131,0.6086956521739131,
EURUSD=X,EUR/USD,kNN,pre_war_eval,41,0.4146341463414634,0.3,0.375,0.3333333333333333,0.3575
EURUSD=X,EUR/USD,kNN,war,27,0.5555555555555556,0.4666666666666667,0.6363636363636364,0.5384615384615384,0.6818181818181818
EURUSD=X,EUR/USD,kNN,post_ceasefire,29,0.3793103448275862,0.2,0.16666666666666666,0.18181818181818182,0.22058823529411764
EURUSD=X,EUR/USD,Random Forest,pre_war_eval,41,0.3902439024390244,0.2631578947368421,0.3125,0.2857142857142857,0.425
EURUSD=X,EUR/USD,Random Forest,war,27,0.4074074074074074,0.3333333333333333,0.45454545454545453,0.38461538461538464,0.5681818181818182
EURUSD=X,EUR/USD,Random Forest,post_ceasefire,29,0.4482758620689655,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4950980392156863
EURUSD=X,EUR/USD,Momentum Baseline,pre_war_eval,41,0.4878048780487805,0.35294117647058826,0.375,0.36363636363636365,
EURUSD=X,EUR/USD,Momentum Baseline,war,27,0.5185185185185185,0.4,0.36363636363636365,0.38095238095238093,
EURUSD=X,EUR/USD,Momentum Baseline,post_ceasefire,29,0.4827586206896552,0.38461538461538464,0.4166666666666667,0.4,
CL=F,Crude Oil Futures,LSTM,pre_war_eval,39,0.41025641025641024,0.0,0.0,0.0,0.5407608695652174
CL=F,Crude Oil Futures,LSTM,war,26,0.34615384615384615,0.6666666666666666,0.1111111111111111,0.19047619047619047,0.576388888888889
CL=F,Crude Oil Futures,LSTM,post_ceasefire,29,0.6206896551724138,0.7692307692307693,0.5555555555555556,0.6451612903225806,0.6717171717171718
GC=F,Gold Futures,LSTM,pre_war_eval,39,0.3333333333333333,0.5,0.038461538461538464,0.07142857142857142,0.6449704142011834
GC=F,Gold Futures,LSTM,war,26,0.5384615384615384,0.5,0.8333333333333334,0.625,0.4880952380952381
GC=F,Gold Futures,LSTM,post_ceasefire,29,0.5517241379310345,0.45454545454545453,0.4166666666666667,0.43478260869565216,0.6372549019607843
^GSPC,S&P 500,LSTM,pre_war_eval,39,0.5641025641025641,0.5555555555555556,0.9523809523809523,0.7017543859649122,0.38888888888888884
^GSPC,S&P 500,LSTM,war,26,0.46153846153846156,0.46153846153846156,1.0,0.631578947368421,0.5476190476190477
^GSPC,S&P 500,LSTM,post_ceasefire,29,0.5517241379310345,0.6111111111111112,0.6470588235294118,0.6285714285714286,0.6176470588235294
^IXIC,Nasdaq Composite,LSTM,pre_war_eval,39,0.5384615384615384,0.5882352941176471,0.47619047619047616,0.5263157894736842,0.6031746031746031
^IXIC,Nasdaq Composite,LSTM,war,26,0.5769230769230769,0.8,0.2857142857142857,0.42105263157894735,0.613095238095238
^IXIC,Nasdaq Composite,LSTM,post_ceasefire,29,0.4482758620689655,0.6666666666666666,0.3157894736842105,0.42857142857142855,0.3842105263157894
^VIX,CBOE Volatility Index,LSTM,pre_war_eval,39,0.41025641025641024,0.0,0.0,0.0,0.6956521739130435
^VIX,CBOE Volatility Index,LSTM,war,26,0.5769230769230769,0.0,0.0,0.0,0.45454545454545453
^VIX,CBOE Volatility Index,LSTM,post_ceasefire,29,0.6551724137931034,0.0,0.0,0.0,0.6894736842105263
BTC-USD,Bitcoin,LSTM,pre_war_eval,58,0.4482758620689655,0.39473684210526316,0.625,0.4838709677419355,0.4705882352941177
BTC-USD,Bitcoin,LSTM,war,39,0.5128205128205128,0.5,0.7368421052631579,0.5957446808510638,0.5921052631578947
BTC-USD,Bitcoin,LSTM,post_ceasefire,41,0.4878048780487805,0.5714285714285714,0.34782608695652173,0.43243243243243246,0.5193236714975845
EURUSD=X,EUR/USD,LSTM,pre_war_eval,41,0.4878048780487805,0.38095238095238093,0.5,0.43243243243243246,0.5625
EURUSD=X,EUR/USD,LSTM,war,27,0.6666666666666666,0.6666666666666666,0.36363636363636365,0.47058823529411764,0.6818181818181818
EURUSD=X,EUR/USD,LSTM,post_ceasefire,29,0.7241379310344828,0.75,0.5,0.6,0.6127450980392157
